mortality,sample_number,year,month,date,stage,state,latitude,longitude,crop,beekeeper,group,population,sample_ID,Group-Population ID,Acibenzolar-S-Methyl,Azoxystrobin,Benzovindiflupyr,Boscalid,Carbendazim,Cyflufenamid,Cyprodinil,Difenoconazole,Diphenylamine,Fenbuconazole,Fludioxonil,Fluopyram,Flutriafol,Fluxapyroxad,Myclobutanil,Penthiopyrad,Propiconazole,Pyraclostrobin,Pyrimethanil,Tebuconazole,Thiophanate methyl,Trifloxystrobin,Triflumizole,Atrazine,Diuron,Norflurazon,Pendimethalin,S-Metolachlor,Trifluralin,Acetamiprid,Bifenthrin,Buprofezin,Carbaryl,Chlorantraniliprole,Chlorpyrifos,Coumaphos,Diazinon,Diflubenzuron,Dimethoate,Flonicamid,Hexythiazox,Methoxyfenozide,Imidacloprid,Propargite,Pyriproxyfen,Spinetoram A,Spiromesifen,Sulfoxaflor,tau Fluvalinate
Alive,88,2023,7,20230712,3,WA,48.006911,-117.349705,honey,B4,P,L,131,P-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
Dead,89,2023,8,20230823,4,WA,46.941814,-120.369172,sunflower,B1,K,D,136,K-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,,,,,,,,,,
Alive,90,2023,8,20230801,4,WA,48.217664,-116.71484,honey,B3,C,S,143,C-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,
Alive,91,2023,8,20230801,4,WA,48.217664,-116.71484,honey,B3,C,L,144,C-L,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,
Alive,92,2023,10,20231011,4,WA,48.54,-117.220861,honey,B3,H,S,145,H-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,93,2023,10,20231011,4,WA,48.54,-117.220861,honey,B3,H,L,146,H-L,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,94,2023,8,20230823,4,WA,46.941814,-120.369172,sunflower,B1,K,S,134,K-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,
Alive,95,2023,8,20230823,4,WA,46.941814,-120.369172,sunflower,B1,K,L,135,K-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,
Alive,96,2023,8,20230831,4,WA,48.004035,-117.523442,honey,B4,M,S,139,M-S,,,,,,,,,,,,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,97,2023,8,20230831,4,WA,48.004035,-117.523442,honey,B4,M,L,140,M-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,98,2023,8,20230818,4,WA,47.233702,-119.254483,honey,B1,N,S,137,N-S,,0.191,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.2,,,,,,,,,,,,,,,
Alive,99,2023,8,20230818,4,WA,47.233702,-119.254483,honey,B1,N,L,138,N-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,,
Alive,100,2023,8,20230810,4,WA,48.006911,-117.349705,honey,B4,P,S,141,P-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,101,2023,8,20230810,4,WA,48.006911,-117.349705,honey,B4,P,L,142,P-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,,,,,,,,,,,,,,,,,
